tag_name,doc_name,pnum,query_granularity,corpus_granularity,n_tagged,n_shared_best,noise_best,l2_distance,n_grid_points
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,89,10,0.2,1.395310227815234,5
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,29,1,0.2,1.661169399177425,5
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,48,2,0.2,1.8587434914273633,5
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,89,10,0.2,1.7110627389964441,6
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,29,10,0.2,1.3189238959252099,5
CI Definition Scope,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,48,1,0.2,1.9673788317649492,6
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,chunk,85,10,0.2,1.9278815765660386,11
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,paragraph,28,2,0.2,0.7544080043271604,4
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,paragraph,sentence,47,3,0.2,3.483052571092878,8
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,chunk,85,7,0.1,1.5213045546160093,13
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,paragraph,28,2,0.2,1.125179298619336,5
CI Definition Scope,SRT NDA Master Template (OTPP Markup v2).docx,10,sentence,sentence,47,1,0.2,4.237585306830213,9
CI Definition Software Specific,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,chunk,10,7,0.1,0.8730822928572168,14
CI Definition Software Specific,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,paragraph,1,1,0.2,0.8779798624810633,7
CI Definition Software Specific,Project Greenlight - KHLP3 - OTPP NDA.docx,9,paragraph,sentence,1,2,0.2,1.3934158057309805,7
CI Definition Software Specific,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,chunk,10,3,0.1,0.9703079122940027,10
CI Definition Software Specific,Project Greenlight - KHLP3 - OTPP NDA.docx,9,sentence,sentence,1,8,0.2,1.3893564914080503,8
CI Exclusion Independent Development,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,47,10,0.2,0.9111896221679927,4
CI Exclusion Independent Development,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,7,1,0.2,1.3569871759103493,5
CI Exclusion Independent Development,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,7,1,0.2,1.0575665612772251,5
CI Exclusion Independent Development,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,47,3,0.1,3.296052425177024,14
CI Exclusion Independent Development,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,paragraph,7,1,0.1,0.9964997449826718,9
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,paragraph,chunk,54,7,0.1,2.6054161769736064,13
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,paragraph,paragraph,6,2,0.2,2.6618052779224293,8
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,paragraph,sentence,6,8,0.2,1.2937561838961729,9
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,sentence,chunk,54,7,0.1,2.9700373996540117,13
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,sentence,paragraph,6,2,0.2,1.6074997320077873,8
CI Exclusion Independent Development,Project Greenlight - KHLP3 - OTPP NDA.docx,24,sentence,sentence,6,10,0.2,1.274265923733553,10
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,60,10,0.2,1.3829296206615342,5
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,7,1,0.2,1.536540999682564,5
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,7,2,0.2,1.8360327502364078,5
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,60,3,0.1,2.975874694127797,13
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,7,1,0.1,1.1548564940586297,9
CI Exclusion Independent Development,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,7,1,0.1,1.2116053808017442,8
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,chunk,66,2,0.2,3.2917500041559955,15
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,paragraph,7,1,0.1,2.5976723143726947,13
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,paragraph,sentence,7,2,0.2,1.9902026492122666,8
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,chunk,66,7,0.1,1.9051672962463002,9
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,paragraph,7,2,0.2,0.8214475552261381,4
CI Exclusion Independent Development,SRT NDA Master Template (OTPP Markup v2).docx,19,sentence,sentence,7,2,0.2,0.6388133622529485,3
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,chunk,45,10,0.2,0.9111896221679927,4
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,paragraph,7,1,0.2,1.3569871759103493,5
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,paragraph,sentence,7,1,0.2,1.0575665612772251,5
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,chunk,45,3,0.1,2.248935121227531,9
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,paragraph,7,2,0.1,2.2561000460250096,10
CI Exclusion Prior Knowledge,ACM - Eide Bailly (OTPP) - Joinder - 2026.03.17 - Executed.pdf,30,sentence,sentence,7,6,0.2,1.5176025913830498,10
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,paragraph,chunk,59,10,0.2,2.280348811515264,8
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,paragraph,paragraph,7,2,0.2,2.054500672679634,9
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,paragraph,sentence,7,10,0.2,1.3900817399109056,11
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,sentence,chunk,59,10,0.2,2.5891875106014535,12
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,sentence,paragraph,7,2,0.2,2.1112730397425152,10
CI Exclusion Prior Knowledge,Project Greenlight - KHLP3 - OTPP NDA.docx,22,sentence,sentence,7,2,0.2,1.2476968316219286,9
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,chunk,58,10,0.2,1.3829296206615342,5
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,paragraph,7,1,0.2,1.536540999682564,5
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,paragraph,sentence,7,2,0.2,1.8360327502364078,5
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,chunk,58,8,0.2,1.6569931636913602,7
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,paragraph,7,2,0.1,2.080699672098011,11
CI Exclusion Prior Knowledge,Project_Yellowstone_-_Ontario_-_V5_-_OTPP[Executed_1-9-2026].docx.pdf,6,sentence,sentence,7,8,0.2,1.1701974163035396,6
